District;Sub-district;Waste(tonnes)
Mueang Pathum-Thani;Bang Duea;366.661
Mueang Pathum-Thani;Bang Kadi;330.842
Mueang Pathum-Thani;Bang Khayaeng;384.095
Mueang Pathum-Thani;Bang Khu Wat;676.103
Mueang Pathum-Thani;Bang Prok;623.176
Mueang Pathum-Thani;Bang Phut;172.007
Mueang Pathum-Thani;Bang Phun;640.909
Mueang Pathum-Thani;Bang Luang;232.374
Mueang Pathum-Thani;Ban Mai;336.789
Mueang Pathum-Thani;Ban Krachaeng;92.602
Mueang Pathum-Thani;Ban Klang;317.400
Mueang Pathum-Thani;Ban Chang;229.958
Mueang Pathum-Thani;Suan Phrik Thai;229.930
Mueang Pathum-Thani;Lak Hok;542.442
Lat Lum Kaeo;Khlong Phra Udom;189.278
Lat Lum Kaeo;Khu Khwang;158.917
Lat Lum Kaeo;Khu Bang Luang;276.530
Lat Lum Kaeo;Bo Ngoen;119.161
Lat Lum Kaeo;Rahaeng;457.145
Lat Lum Kaeo;Lat Lum Kaeo;142.352
Lat Lum Kaeo;Na Mai;360.442
Sam Khok;Chiang Rak Yai;167.336
Sam Khok;Chiang Rak Noi;97.165
Sam Khok;Krachaeng;177.030
Sam Khok;Khlong Khwai;144.117
Sam Khok;Thai Ko;69.927
Sam Khok;Bang Toei;304.528
Sam Khok;Bang Pho Nuea;84.075
Sam Khok;Bang Krabue;53.606
Sam Khok;Ban Ngio;61.808
Sam Khok;Ban Pathum;121.306
Sam Khok;Sam Khok;182.760


