District;Sub-district;Waste(tonnes)
Mueang Pathum -Thani;Bang Duea;197.77
Mueang Pathum -Thani;Khlong Phra Udom;102.09
Mueang Pathum -Thani;Bang Kadi;178.45
Mueang Pathum -Thani;Bang Khayaeng;207.18
Mueang Pathum -Thani;Bang Khu Wat;364.68
Mueang Pathum -Thani;Bang Prok;336.13
Mueang Pathum -Thani;Bang Phut;92.78
Mueang Pathum -Thani;Bang Phun;345.7
Mueang Pathum -Thani;Bang Luang;125.34
Mueang Pathum -Thani;Chiang Rak Yai;90.26
Mueang Pathum -Thani;Ban Mai;181.66
Mueang Pathum -Thani;Ban Krachaeng;49.95
Mueang Pathum -Thani;Ban Klang;171.2
Mueang Pathum -Thani;Ban Chang;124.04
Mueang Pathum -Thani;Suan Phrik Thai;124.02
Mueang Pathum -Thani;Lak Hok;292.59
Lat Lum Kaeo;Khu Khwang;85.72
Lat Lum Kaeo;Khu Bang Luang;149.16
Lat Lum Kaeo;Bo Ngoen;64.27
Lat Lum Kaeo;Rahaeng;246.58
Lat Lum Kaeo;Lat Lum Kaeo;76.78
Lat Lum Kaeo;Na Mai;194.42
Sam Khok;Chiang Rak Noi;52.41
Sam Khok;Krachaeng;95.49
Sam Khok;Khlong Khwai;77.74
Sam Khok;Thai Ko;37.72
Sam Khok;Bang Toei;164.26
Sam Khok;Bang Pho Nuea;45.35
Sam Khok;Bang Krabue;28.91
Sam Khok;Ban Ngio;33.34
Sam Khok;Ban Pathum;65.43
Sam Khok;Sam Khok;98.58

