ID;F0;F1;F2
0;238908024.33499998;12.607999999999997;37562.3866313752
2;239056456.839;12.939999999999994;6212.1871892742
4;238921639.84100002;12.997999999999998;6427.8349936052
5;238908195.493;12.552999999999997;29926.364470184202
6;238908379.174;12.672999999999995;18573.592363447402
7;238908356.556;13.998999999999995;24449.055232203802
8;238908670.91500002;14.206999999999997;12318.037653819201
9;238908461.805;14.123999999999995;17890.0856113608
11;238908285.737;12.595999999999997;24995.248147104
12;238909098.69;14.166999999999994;8537.5448860636
14;238910404.885;12.850999999999996;7599.9321236052
15;238921207.837;12.865999999999996;7156.978390458001
18;238908412.289;14.123999999999995;18051.4101962502
21;238921537.028;12.840999999999994;6706.3652364044
22;238908323.592;12.651999999999997;24820.8921274412
27;238921592.961;12.927999999999997;6516.8170792778
