ID;F0;F1;F2
0;254695601.43;10.966;154530.5048073938
1;244006257.697;12.139;124791.8740807026
4;244123697.072;11.913999999999998;92274.9559948996
5;254562547.239;11.166;61572.67796905241
8;244006803.599;11.930999999999997;84259.35507085681
9;244006619.995;12.099999999999998;77019.243474236
10;254563325.001;11.089;56436.221573162205
11;254563045.537;11.137;76895.49468972321
13;254564138.427;11.033;87122.67601916121
14;254563956.479;11.06;56552.7938994494
15;254577707.447;10.982;223484.60398190422
17;254563031.243;11.159;31534.2040368642
18;254693873.24;10.978;149277.268235947
19;244122686.476;11.922999999999998;91158.72763484341
20;254563613.727;11.075;43690.191364942606
22;254577309.791;10.993;227730.04094325297
23;254565191.787;11.018;137969.95388544118
24;254565674.09600002;11.006;254760.53834781243
26;254563948.616;11.066;56059.279245736616
29;254565900.449;11.001;254434.71028803725
32;254564235.678;11.026;102200.124445898
36;244123579.666;11.918999999999997;72123.8626546748
38;254562823.57999998;11.164;48309.64657602121
39;254694495.95999998;10.973;183413.74325768917
43;254694669.174;10.97;183242.20469027077
47;254564606.44099998;11.02;137303.8443835268
48;254564287.678;11.023;102509.9781585812
