ID;F0;F1;F2
0;243697734.069;12.351999999999999;5346.0839895092
1;243697852.08200002;12.348999999999998;4768.0970674788
5;243698047.257;12.344;4311.0855001728
29;243697939.45999998;12.344;4593.9356509632
36;243697841.08499998;12.351999999999999;5201.2395824806
37;243697826.73000002;12.348999999999998;4929.3630774788
48;243697897.974;12.344;4692.5456458526005
56;243697978.993;12.338;4551.4715199515995
77;243698138.222;12.338;4239.105959161201
85;243698341.532;12.315999999999999;4238.8377589291995
