MODO,ALGORITMO,EJECUCION_SOL
economico-salud,moead,9_12
economico-salud,moead,1_11
economico-uso,moead,2_1
economico-uso,moead,2_1
salud-uso,moead,10_0
salud-uso,moead,5_1
triobjetivo,moead,5_13
triobjetivo,moead,5_72
economico-salud,nsga2,1_0
economico-salud,nsga2,5_5
economico-uso,nsga2,11_0
economico-uso,nsga2,11_11
salud-uso,nsga2,4_9
salud-uso,nsga2,4_8
triobjetivo,nsga2,3_0
triobjetivo,nsga2,1_46
economico-salud,nsga3,9_2
economico-salud,nsga3,2_3
economico-uso,nsga3,4_4
economico-uso,nsga3,10_2
salud-uso,nsga3,4_5
salud-uso,nsga3,3_3
triobjetivo,nsga3,10_7
triobjetivo,nsga3,11_17
