ID;F0;F1;F2
7_0;258265982.38;14.627;3313.1655798538
7_1;253315214.507;14.743999999999996;4802.321825555
7_4;253314859.825;13.291999999999996;4924.195333142001
7_5;253313371.82;13.486999999999997;5265.0495018076
7_6;253313012.518;14.777999999999995;5310.9762864124
7_7;253312850.885;14.786999999999995;5495.0760355694
7_8;253312508.87;14.787999999999997;5665.297086581
7_9;253312208.834;14.807999999999998;6436.7992077612
7_10;253311972.76;14.814999999999996;6718.3218707506
7_11;253311703.403;14.824999999999998;7534.8398036802
7_12;253311343.994;13.348999999999997;94530.0943464902
9_0;245089088.643;13.348;3221.9187348318
9_1;244972674.544;13.41;4404.8660692226
9_2;244961914.482;13.147;4571.1635615542
9_5;244961248.99;13.272;4833.9472081858
9_6;244960901.786;13.266;4871.5302756568
9_7;244960528.146;13.204;5305.828699366
9_8;244960241.802;13.137;5656.2422805462
9_9;244959808.021;13.264;5823.0998549298
9_10;244959636.545;13.258;6240.5225924008
9_11;244959634.001;13.239;6902.0855673572005
9_12;244959046.374;13.222;65657.9011607292
1_0;248452420.736;11.089;2539.6442144032
1_1;248336200.007;11.000999999999998;3516.5917226084
1_2;248327215.25;11.037;3897.8009523274
1_4;248326579.875;11.067;4090.3008471008006
1_5;248326145.618;11.058;4352.3497056994
1_6;248325363.435;12.566;4666.63297734
1_7;248325089.225;12.581;4677.748279026
1_8;248324702.646;11.163999999999998;4912.4595072384
1_9;248324368.106;11.032;5228.9892525212
1_10;248324162.623;10.988999999999995;5405.867847122401
1_11;248323830.047;10.852999999999998;6088.2014080994
1_12;248323584.88;11.113999999999995;27040.550025128003
6_0;251872062.033;11.98;4073.4255703274
6_1;251860788.28;12.157;4365.9819219500005
6_3;251860565.47;12.094;4544.046191159599
6_4;251860278.585;12.328;4870.184346333601
6_5;251859974.909;12.267;5209.491311834
6_6;251859786.712;12.328;5452.727712006201
6_7;251859726.826;12.263;5674.954612968801
6_8;251859128.374;12.12;5829.498888641401
6_10;251858961.205;12.17;6864.5883554416005
6_11;251858895.539;12.168;7710.5827118448
6_12;251858551.633;12.194;44824.61037073159
3_0;251081125.181;14.451999999999998;2761.262298359
3_1;250821886.369;14.534999999999998;4095.702736557
3_4;250821062.83;12.919999999999998;4655.5152167818005
3_5;250819979.054;14.403999999999998;4960.1319624544
3_7;250819036.23;13.207;5449.4629968452
3_8;250818792.741;14.732;5571.833866227
3_9;250818501.767;13.222;5882.6326415660005
3_10;250818162.939;13.165;6215.877328921
3_11;250817832.37;13.198999999999998;6674.943944983401
3_12;250817548.126;13.121999999999998;14756.099940119202
11_0;251622821.706;14.377;4830.082303356001
11_1;251379126.547;12.621;5138.8314056386
11_2;251378626.774;12.688;5364.492393664401
