ID;F0;F1;F2
7_0;249929267.502;13.008999999999997;185250.5815734564
7_1;249918563.292;13.406999999999996;170353.65393865557
9_0;242566604.393;10.156;156511.03024507262
9_1;242555046.506;10.607;154962.980040114
11_0;250975182.654;10.961999999999998;353550.3605040992
11_1;250962934.666;11.336;58783.6762864358
4_0;246471048.384;11.961;331610.7982397698
4_1;246456597.375;12.217;27069.5362930546
2_0;241209863.008;10.684;281065.4718570454
2_1;241200489.996;11.26;35599.7664089994
5_0;258604249.08;12.442999999999996;140029.2575171112
5_1;252195629.661;13.553999999999998;99522.958391061
5_2;252195618.265;13.553999999999998;39453.150481904006
8_0;256275534.49;11.645999999999995;204615.4534714472
8_1;249097828.709;13.471999999999998;169356.5118607934
1_0;248040190.672;11.906999999999996;205001.15599487376
1_1;248027910.797;12.365999999999998;299906.3569290196
6_0;246497015.813;11.239;348247.5187400942
6_1;246484713.13;11.675;117387.71508907324
3_0;248653034.073;12.518999999999998;254877.54194910463
3_1;248643029.986;12.906999999999998;96275.8282265698
3_3;248643028.669;12.911;95994.45234543504
10_0;242226911.649;10.934;437324.9086124032
10_1;242215630.213;11.394;117879.0800589656
