ID;F0;F1;F2
2_0;239179153.659;10.883;166956.71665286462
2_2;239308708.242;10.799;309760.61738998047
2_4;239185224.389;10.800999999999998;293060.6563632998
2_5;239183843.961;10.813999999999998;265094.23206836503
2_6;239181016.598;10.841;159525.184339538
2_7;239180806.231;10.861999999999998;173672.19476386902
2_8;239180871.748;10.848999999999998;169857.27628645062
2_9;239180372.437;10.872;175578.5260930822
2_11;239183975.841;10.808;251569.37134735344
2_12;239180726.17;10.867;153399.52235892703
2_14;239184796.117;10.802;285593.93883819645
2_15;239184378.805;10.806;305566.23258954525
2_17;239180923.039;10.845;176206.21929909202
2_19;239180604.01;10.869;219454.2088097664
2_20;239180925.512;10.842;175147.03616650682
7_0;245565364.558;10.957999999999998;215521.5852295936
7_1;245698075.739;10.730999999999998;268940.418003854
7_4;245569128.306;10.749999999999998;282251.86345701927
7_5;245697639.542;10.740999999999998;346755.1588967728
7_6;245565501.317;10.836;260143.61680404423
7_7;245565393.078;10.930999999999996;212993.3979458844
7_8;245566748.774;10.821999999999996;243256.51071635203
7_9;245567123.384;10.791999999999998;273984.2941594394
7_11;245567615.262;10.781999999999998;279873.53904921096
7_12;245567641.243;10.769999999999998;284541.84436268825
7_15;245698033.552;10.739999999999998;319201.94172127964
7_18;245566117.613;10.824999999999998;275949.15957307804
7_19;245565974.489;10.831999999999995;246470.3304992002
7_20;245568917.907;10.754999999999995;280976.74427465885
7_21;245568365.826;10.762999999999998;230146.4320489862
7_24;245568867.84;10.759;253574.6863960076
7_25;245568035.413;10.768999999999998;252983.8759752208
7_28;245568056.603;10.765999999999998;275004.2260050068
7_32;245568155.246;10.765;274904.351183872
7_33;245568868.395;10.756999999999998;235568.78599887385
4_0;243495356.326;10.448;184776.3676652152
4_2;242438753.552;12.095;105806.92673379122
4_4;243481302.674;10.826;217091.8916185454
4_5;242454769.021;11.654999999999998;170796.1477845384
4_8;243481959.181;10.818;232527.9038145516
4_9;243482135.112;10.649;232726.82671983083
4_10;242439524.889;11.863;136498.30641460902
4_11;242439113.065;11.985999999999995;135129.9939425332
4_13;242438892.288;12.089;105439.6856311952
4_14;243493040.931;10.534;151105.7867679762
4_15;243492998.001;10.589;171241.3803803964
4_16;242441710.121;11.826999999999998;136145.2855370076
4_17;242450113.859;11.782999999999998;153734.78384602483
4_18;243492670.111;10.616;167924.865112086
4_20;243493889.525;10.516;140916.4970660762
4_21;243494007.808;10.484;189880.09277044545
4_22;242450543.511;11.697;142786.2415652618
4_24;243482286.38;10.647;162612.1989120226
4_25;242450300.81;11.756999999999998;154418.83132327104
4_26;242450400.108;11.726999999999997;143050.45213392022
4_29;243492881.522;10.592;163657.80642325542
4_35;243494121.584;10.471;164099.5952782572
4_36;242439983.722;11.837999999999996;136160.94216336543
4_37;242439791.237;11.86;138571.9873813494
4_38;242452214.826;11.666999999999998;175060.653754096
4_39;242451961.442;11.678999999999998;176430.137153485
4_40;242439801.092;11.848;138393.945726295
4_41;243494158.266;10.46;173847.0055790966
4_45;242451433.204;11.691;175003.9044825858
4_49;242451671.852;11.685;215819.1505503868
4_50;242454105.912;11.656;151636.5851776856
4_51;243494816.837;10.458;184446.014719936
4_52;243481381.004;10.821;216828.35258168905
4_53;243495341.251;10.453;193232.7666455524
4_54;242452921.261;11.660999999999998;187907.6738945874
4_56;242451770.397;11.68;206192.80691808625
4_59;242452453.735;11.663999999999998;183357.4841308256
3_0;253646184.313;11.512999999999998;149054.6520770698
3_1;245019770.076;12.799999999999995;124057.5172592876
3_4;245139524.063;12.560999999999996;192372.8104989396
3_5;253518322.642;11.719999999999995;49713.607855012
3_8;245020353.663;12.617999999999997;142704.1321134356
3_9;245019985.195;12.787999999999997;118817.2397745668
3_10;253520872.605;11.592999999999998;80508.7225788862
3_11;253518770.829;11.664999999999996;48726.3915373652
3_12;245020468.737;12.602999999999996;142782.4510477032
3_13;245023037.943;12.565999999999995;156578.5761915738
3_15;253518728.794;11.691999999999997;46423.616895458
3_16;253521182.616;11.571999999999996;154408.3544337612
3_17;253635836.266;11.549999999999995;103988.1194915204
3_20;245023065.46;12.561999999999996;155941.94866617862
3_22;253521085.244;11.576999999999998;110391.096780052
3_25;253645581.253;11.525999999999998;149488.943516283
3_26;253646054.228;11.513999999999998;132277.2771862268
3_28;253518606.067;11.703999999999995;82401.1352712956
3_30;245019931.162;12.797999999999996;118999.2338386132
3_31;253518436.785;11.718999999999998;47979.1855874812
3_32;253518600.205;11.709999999999996;48843.1543307444
3_33;253637473.909;11.533999999999995;132091.2396456648
3_38;253636546.612;11.538999999999998;103506.6200786996
3_39;253636127.306;11.544999999999998;84274.6232498344
3_40;253636399.167;11.543999999999995;103589.007609374
8_0;254695601.43;10.966;154530.5048073938
