ID;F0;F1;F2
4_0;240426723.479;11.431;5917.0715907946005
4_2;240426883.99;11.422999999999998;5403.6162926946
4_4;240427054.616;11.425999999999998;4997.5984576964
4_14;240426829.409;11.434;5582.522005796401
4_39;240426988.338;11.422999999999998;5261.2364598846
4_47;240426969.571;11.432999999999998;5358.0840746616
4_63;240427103.93;11.425999999999998;5112.8311348864
4_81;240427314.263;11.406999999999998;4955.7224584904
9_0;243888816.51;11.890999999999998;4994.432892987601
9_2;243888939.966;11.987999999999998;4611.858252313201
9_5;243889042.49;11.938999999999998;4494.4219878662
9_7;243889122.184;11.938999999999998;4402.6087478662
9_19;243889092.844;11.938999999999998;4439.2284078662
9_70;243889409.029;11.768;4490.3837834826
9_71;243889310.339;11.941;4336.5341094506
9_73;243889414.516;11.982;4058.1570735006
9_77;243889429.824;11.939999999999998;4153.342474951
10_0;245269017.635;12.292999999999996;5890.0919433268
10_1;245269249.527;12.272999999999998;4895.5664306818
10_10;245269451.282;12.438999999999997;4754.922811019
10_14;245269147.628;12.302999999999995;5423.680136530201
10_36;245269224.132;12.302999999999995;5290.7718057398
10_46;245269253.475;12.272999999999998;4955.965230681801
10_55;245269540.285;12.363999999999995;5083.123699048401
10_58;245269561.664;12.311999999999998;4680.4841466354
10_70;245269756.259;12.345999999999997;4703.649460565801
10_71;245269816.16;13.823999999999998;4578.993918374001
10_72;245269833.298;13.816999999999997;4556.536106744201
10_81;245270145.546;12.291999999999998;4455.2813952866
10_85;245270583.808;12.358999999999998;4387.136218823601
10_86;245270520.532;12.103999999999996;4211.6026737656
10_89;245270683.018;12.103999999999996;4081.760476575601
5_0;236550413.255;9.857;4610.147314026801
5_9;236550552.709;9.73;4497.398834982201
5_13;236550351.636;9.85;5036.9180281294
5_25;236550406.387;9.701;5021.2542931802
5_55;236550548.766;9.792000000000002;4687.8484758252
5_56;236550576.515;9.798000000000002;4577.4012654772005
5_71;236550686.847;9.681;4487.3085456458
5_72;236550689.605;9.681;4402.9178056458
5_73;236550691.827;9.793;4359.6341582872
5_88;236551012.587;9.794;4289.497916826001
3_0;245341078.556;14.627999999999998;5816.8064433706
3_2;245341363.278;14.682999999999998;4941.8317571108
3_14;245341213.391;14.627;5452.2867313928
3_36;245341295.661;14.522999999999998;5395.877657631001
3_46;245341439.022;14.518999999999998;5353.5905614562
3_56;245341403.889;14.679999999999998;4921.3829178414
3_63;245341456.341;14.679999999999998;4905.8517978414
3_70;245341616.515;14.659999999999998;4900.693817118001
3_71;245341737.216;14.524;4838.152518811201
3_73;245341866.516;14.487999999999998;4564.0052466194
3_77;245341890.861;14.487999999999998;4787.7347066194
7_0;243139833.159;12.372999999999998;6011.1090552428
7_2;243139995.939;12.383;5622.515871646
7_3;243140087.051;12.261;5339.7827298476
7_25;243139934.187;12.372999999999998;6007.2924352428
7_46;243140080.635;12.383;5510.064071646
7_63;243140297.611;12.273999999999996;5413.4661327628
7_64;243140333.599;12.416999999999998;5321.5426653552
7_66;243140416.143;12.415999999999997;5165.3003780456
7_78;243140530.925;12.346999999999998;5069.146175400601
7_88;243140961.009;12.343999999999998;4944.2518940518
2_0;238852713.859;12.499999999999998;5476.339167819
2_13;238852608.625;12.511;6294.791732150001
2_25;238852665.867;12.573;5799.0672284408
2_55;238853038.683;12.374;5510.7868011874
2_56;238853041.13;12.563;5372.4740801268
2_67;238853352.969;12.664;5096.5138886584
2_70;238853430.615;12.551999999999998;5510.307407306
2_71;238853302.809;12.480999999999998;5225.1167281
2_82;238853547.619;12.707999999999998;5038.763145286401
2_86;238853721.058;12.539;4924.527270565601
11_0;243621750.679;11.455999999999998;4479.5016593446
11_3;243621806.793;11.449999999999998;4283.139497535401
11_46;243621792.296;11.449999999999998;4434.191297535401
11_76;243622163.631;12.910999999999998;4268.2245553998
11_82;243622297.827;11.441999999999998;4168.8608763552
6_0;243697734.069;12.352;5346.0839895092
6_1;243697852.082;12.348999999999998;4768.0970674788
6_5;243698047.257;12.344;4311.0855001728
6_29;243697939.46;12.344;4593.9356509632
6_36;243697841.085;12.352;5201.2395824806
6_37;243697826.73;12.348999999999998;4929.3630774788
6_48;243697897.974;12.344;4692.5456458526005
6_56;243697978.993;12.338;4551.4715199516
6_77;243698138.222;12.338;4239.105959161201
6_85;243698341.532;12.316;4238.8377589292
1_0;243669145.078;11.377999999999997;5228.182069937
1_4;243669423.67;11.375999999999998;4749.7841438602
1_6;243669505.495;11.366;4612.5346755462
1_8;243669578.54;11.366;4478.9316555462
1_25;243669180.235;11.372999999999998;5233.5055622974
1_27;243669385.36;11.38;4911.2244435792
1_36;243669303.038;11.369999999999996;5130.0858752652
1_63;243669555.769;11.375999999999998;4749.404753860201
1_76;243669613.961;11.375999999999998;4542.0018438602
1_85;243669924.174;11.360999999999995;4411.6933581912
1_88;243670209.586;11.238999999999995;4318.8575540288
8_0;245927587.051;12.133;5531.2284255862
8_1;245927687.412;12.134;5168.051324125
8_2;245927837.869;12.140999999999998;4632.345567665601
8_36;245927815.112;12.211999999999998;5156.037670479201
8_46;245927889.926;12.139;5115.910738737
8_47;245927868.663;12.140999999999998;4921.278467665601
8_55;245927879.274;12.141999999999998;4787.291217556801
8_64;245927866.834;12.301999999999998;4613.0654812062
8_76;245928090.177;12.143999999999998;4599.3864838476
8_82;245928375.204;12.271999999999998;4474.005546141
8_90;245928743.934;12.112999999999998;4360.2697330536
