ID;F0;F1;F2
6_0;243618224.662;11.752999999999998;15889.166842454002
6_1;243609631.944;11.782999999999998;13645.0953466762
6_2;243613311.485;11.698999999999998;55796.16094891699
6_3;243482901.634;11.739999999999998;16943.9693805994
6_4;243496704.985;11.733999999999998;21682.097954990204
6_5;243482631.331;11.779999999999998;60395.42252348361
6_6;243482780.26;11.848999999999998;59109.756026128605
6_7;243482432.75;11.730999999999998;60875.250013304205
6_8;243483006.041;11.851;16204.0471157734
6_9;243619685.457;11.948999999999998;7802.6907292232
6_10;243482294.97;11.727;144014.28168362702
6_11;243493500.479;11.760999999999996;13845.6706789732
6_12;243495018.431;11.739999999999998;16334.469426770602
6_13;243508176.077;11.717;19177.4848668448
6_14;243789897.49;11.779999999999998;13415.3154598796
6_15;243503378.03;11.784999999999998;10362.7279253944
6_16;243762617.816;12.048999999999998;7160.129852479201
6_17;243508617.024;11.717;17364.8114068448
6_18;243624464.473;11.737999999999998;15478.9009030686
5_0;246693216.208;12.785;62990.12425099399
5_1;249261822.268;11.335;70541.9071610288
5_2;249386068.371;11.428;24053.3433505446
5_3;249390582.47;11.268;12811.568056027
5_4;249379947.895;11.123;26754.4364876604
5_5;246990833.638;12.769;31272.9238236354
5_6;249379932.339;11.287999999999998;30624.4636018862
5_7;249261037.339;11.386;153075.83463806822
5_8;249261917.678;11.150999999999998;165214.53948019302
5_9;249263228.691;11.11;100358.6532731082
5_10;246694501.074;12.763;31750.693960432003
5_11;249386336.856;11.399;8609.877102557
5_12;246836947.522;12.842;10173.0112584124
5_13;249262897.688;11.243999999999998;100769.08568541244
5_14;246693747.977;12.854;10124.923939757602
5_15;249262190.429;11.146999999999998;287767.05516884424
4_0;248205249.21;10.972999999999995;36724.59412077421
4_1;248441682.237;11.222999999999995;8997.292730914
4_2;248308132.906;11.171999999999995;12639.6338255822
4_3;248345620.92;11.160999999999996;11912.268038684
4_4;248191266.851;11.288999999999996;10695.3193660426
4_5;248435135.352;11.123999999999995;12912.4529720034
4_6;248321994.274;10.961999999999996;24436.9872602014
4_7;248447078.844;10.951999999999996;82551.7039115466
4_8;248345101.477;11.295999999999998;10504.1511171104
4_9;248191917.618;12.018999999999997;10558.637656717
4_10;248437821.791;10.969999999999995;20118.286913015003
4_11;248191613.024;10.993999999999996;16495.6264424458
4_12;248190962.981;11.167999999999996;16158.5639073914
4_13;248326518.031;12.613999999999995;9459.829662502
4_14;248737925.621;11.208999999999996;8997.3952882798
7_0;250422018.35;12.818999999999996;29801.452924289195
7_1;250548969.62;11.379999999999995;21123.1736179876
7_2;250653871.844;11.217;9824.337352828
7_3;250560893.203;11.531999999999998;14309.848020812002
7_4;250557967.239;12.691999999999998;11634.6790715772
7_5;250410814.728;11.191999999999998;45441.7127549528
7_6;250411601.045;12.858999999999998;11223.8202085604
7_7;250664313.747;11.445999999999998;9540.6195973694
7_8;250410496.28;11.358999999999998;33707.8969547352
7_9;250421697.101;12.836;17899.2277140154
7_10;250560089.872;11.430999999999996;14699.1887926032
7_11;253976126.221;14.377999999999997;9531.2421664964
7_12;250422015.533;12.832999999999998;22927.315675308004
7_13;250548238.972;11.535999999999998;20086.7915678752
7_14;250538860.502;11.224999999999998;32657.523175402403
9_0;244797800.707;12.660999999999996;39210.3473443772
9_1;253401166.086;12.046;20955.816656386403
9_2;244807942.177;12.998999999999995;19155.616665339803
9_3;253400932.589;11.873;57916.38879800901
9_4;244808719.201;12.562999999999995;118534.8359494878
9_5;253516260.678;11.911;10668.2951454346
9_6;244806915.033;12.795999999999996;27709.2932613496
9_7;244796907.053;12.695999999999996;49496.092839892
9_8;253517897.681;11.856000000000002;46130.859681665606
9_9;253422108.821;12.161;10814.326310605002
9_10;253527572.341;12.033;9524.776706052802
9_11;244796564.721;12.587999999999996;66194.68909686079
9_12;253401344.903;11.866;18948.1318287468
9_13;253518262.491;11.854;24819.8937847004
1_0;251126594.981;10.708;44218.0533853094
1_1;250989168.194;10.974;26296.004728759195
1_2;239593975.372;13.068;49245.30002971001
1_3;239692390.702;12.475;147430.7110550634
1_4;249309736.898;11.114999999999998;29215.854976411603
1_5;239555720.385;12.836;65513.74021084841
1_6;239671176.119;12.612;85536.0516400198
1_7;249309199.212;10.977;38462.9886242162
1_8;251115604.63;10.684;73492.00297170901
1_9;239449930.576;13.126;22994.8015600508
1_10;250977223.286;11.075;6492.402920726201
1_11;239693186.291;12.417;204241.0958402338
1_12;251243487.142;10.711;27405.5937416564
1_13;251104281.65;10.889;6837.2519590928005
1_14;249590684.424;11.71;13299.248369566
3_0;244902582.046;11.512999999999998;8278.3390863526
3_1;244890078.011;13.136;95272.9314508486
3_2;244893864.536;11.377;9132.160250051002
3_3;244891222.868;12.961999999999998;13572.3578711894
3_4;245037272.795;11.550999999999998;7249.0958105676
3_5;244902879.281;11.480999999999998;8239.3785049966
3_6;244903167.013;11.640999999999998;8049.4123778138
3_7;245153660.896;11.511;7371.134695390001
3_8;244891090.423;13.059;8312.9048232162
11_0;241023764.983;9.39;33397.2567926606
11_1;241127353.963;11.095;12654.1612425446
11_2;241247320.182;9.37;17287.543265137
11_3;241140185.552;9.54;14563.169959752602
11_4;241130110.928;9.485;16570.4579452004
11_5;241128326.536;9.652;17579.7333816108
11_6;241149749.273;9.344;31104.974230577605
11_7;241021466.83;9.435;77847.1182753056
11_8;241150210.736;9.331;31653.807286756004
11_9;241149980.063;9.396;17306.921772551803
11_10;241243645.787;9.71;14165.132436542
11_11;241752004.78;9.519;14890.0460947544
11_12;257183781.327;12.831;9567.9123256522
11_13;241022805.468;9.739;13969.2137451478
11_14;241012160.059;9.645;19891.4468485198
11_15;250105050.024;12.978999999999996;11653.358559622
11_16;241446535.81;9.33;32852.5861675428
11_17;241130939.652;9.366;17494.2605364858
11_18;241014246.751;9.326;199949.9761837738
11_19;241265915.112;9.4;17202.8569931138
11_20;241022952.502;9.591;20147.4339899248
2_0;241898889.418;11.423999999999996;11048.2828759166
2_1;244603015.327;10.974;5858.5806466566
2_2;244344594.633;10.975;40987.2024128134
2_3;241484796.23;11.268999999999998;204704.16842777483
2_4;241737238.143;11.468999999999998;9867.641741480398
2_5;241609661.163;11.473999999999997;16738.916234504402
2_6;244344618.209;10.756;23412.137270337
2_7;241504172.086;13.018999999999998;10695.8149322182
2_8;244344729.457;10.965;12402.768542307602
2_9;241610009.181;11.343999999999998;11634.181702987
2_10;244479377.773;10.767;11657.7675652754
2_11;241484297.479;12.768999999999998;21911.3562667776
2_12;241483181.207;11.482999999999995;57583.5364415366
2_13;241483693.933;11.351999999999997;84131.4877663028
2_14;241609478.098;11.474999999999998;8223.017294729201
2_15;241484410.398;11.368;32094.08909767681
10_0;255541802.413;11.762999999999998;9158.9497923344
10_1;234343661.834;11.855;17726.8239671558
10_2;255651321.275;11.499;42364.3241967634
10_3;234331419.618;11.987999999999998;8208.1898340792
10_4;250052950.165;12.246999999999996;6371.7468274974
10_5;255530454.911;11.517999999999995;13410.3289942726
10_6;255650533.703;11.505;22958.484643001604
10_7;234215189.583;11.864;10464.2273381184
10_8;255935741.219;11.511999999999995;20419.858110757203
10_9;255684338.67;11.755;8132.416250423599
10_10;255658060.28;11.512999999999998;8343.2218108134
10_11;250315108.869;12.142999999999995;7330.9092122744
10_12;255800775.817;11.671999999999995;7758.8169650284
10_13;234339579.937;11.855;21140.5282258106
10_14;255541069.843;11.811;7478.7820926154
8_0;252708717.236;11.931;7004.7742657002
8_1;252817855.459;10.236;83452.5074514852
8_2;252709438.829;11.331;7186.8241232274
8_3;252817678.112;10.215;124523.85987693662
8_4;252813267.968;10.401;6548.8233868206
8_5;252709448.473;11.215;8013.9738516574
8_6;258775682.893;10.14;40728.5656082842
8_7;253277107.128;10.282;18488.9408151454
8_8;253097104.398;10.328;12562.5365629918
8_9;252818318.724;10.214;158497.2701319802
8_10;249736947.877;13.149;29440.7138158444
8_11;253096847.49;10.328;20193.3952429918
8_12;252817699.849;10.245;56101.4099846706
8_13;252943029.728;10.269;26915.001882602
8_14;252836305.386;10.23;39665.78865618801
8_34;252817584.962;10.247;56325.6940442772
