F0;F1;F2
244392563.643;12.775999999999998;186522.6839842656
254268377.25;11.421999999999997;168816.67208482462
254267805.927;11.439999999999998;194738.3586021868
245709588.275;12.406;248471.55537183982
245706747.861;12.539;163128.89166124322
244508457.362;12.768999999999997;167213.14388308543
245707350.667;12.464;165514.5349007374
245707529.838;12.437;155304.5317762378
244508199.445;12.774999999999997;126668.0720530854
245708245.706;12.411;162821.36660763918
245708221.433;12.428;162851.3921814608
245709086.857;12.409;247756.323666392
